v8-version,6,7,288,49,-node.15,0
code-creation,Builtin,3,5281,0x2d2952b14d40,15,HandleApiCallAsFunction
code-creation,Builtin,3,5293,0x2d2952b14da0,15,HandleApiCallAsConstructor
code-creation,Builtin,3,5306,0x2d2952b14e00,29,AllocateInNewSpace
code-creation,Builtin,3,5318,0x2d2952b14e60,36,AllocateInOldSpace
code-creation,Builtin,3,5331,0x2d2952b14ee0,835,CopyFastSmiOrObjectElements
code-creation,Builtin,3,5344,0x2d2952b15280,544,GrowFastDoubleElements
code-creation,Builtin,3,5357,0x2d2952b154e0,500,GrowFastSmiOrObjectElements
code-creation,Builtin,3,5370,0x2d2952b15720,359,NewArgumentsElements
code-creation,Builtin,3,5382,0x2d2952b158e0,452,DebugBreakTrampoline
code-creation,Builtin,3,5395,0x2d2952b15b00,122,FrameDropperTrampoline
code-creation,Builtin,3,5407,0x2d2952b15bc0,62,HandleDebuggerStatement
code-creation,Builtin,3,5420,0x2d2952b15c40,402,ToObject
code-creation,Builtin,3,5432,0x2d2952b15e20,151,ToBoolean
code-creation,Builtin,3,5444,0x2d2952b15f00,283,OrdinaryToPrimitive_Number
code-creation,Builtin,3,5457,0x2d2952b16060,283,OrdinaryToPrimitive_String
code-creation,Builtin,3,5470,0x2d2952b161c0,229,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,5483,0x2d2952b16300,229,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,5496,0x2d2952b16440,229,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,5509,0x2d2952b16580,95,StringToNumber
code-creation,Builtin,3,5521,0x2d2952b16620,103,ToName
code-creation,Builtin,3,5532,0x2d2952b166e0,317,NonNumberToNumber
code-creation,Builtin,3,5545,0x2d2952b16860,333,NonNumberToNumeric
code-creation,Builtin,3,5557,0x2d2952b16a00,269,ToNumber
code-creation,Builtin,3,5568,0x2d2952b16b60,361,ToNumeric
code-creation,Builtin,3,5580,0x2d2952b16d20,219,NumberToString
code-creation,Builtin,3,5592,0x2d2952b16e40,303,ToString
code-creation,Builtin,3,5604,0x2d2952b16fc0,482,ToInteger
code-creation,Builtin,3,5616,0x2d2952b17200,498,ToInteger_TruncateMinusZero
code-creation,Builtin,3,5629,0x2d2952b17440,538,ToLength
code-creation,Builtin,3,5649,0x2d2952b176a0,156,Typeof
code-creation,Builtin,3,5660,0x2d2952b17780,75,GetSuperConstructor
code-creation,Builtin,3,5672,0x2d2952b17820,163,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,5694,0x2d2952b17920,10108,KeyedLoadIC_Megamorphic
code-creation,Builtin,3,5708,0x2d2952b1a0e0,2555,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,5721,0x2d2952b1ab20,40,KeyedLoadIC_Slow
code-creation,Builtin,3,5754,0x2d2952b1aba0,15840,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,5767,0x2d2952b1e9c0,44,KeyedStoreIC_Slow
code-creation,Builtin,3,5780,0x2d2952b1ea40,40,LoadGlobalIC_Slow
code-creation,Builtin,3,5792,0x2d2952b1eac0,203,LoadField
code-creation,Builtin,3,5803,0x2d2952b1ebe0,92,LoadIC_FunctionPrototype
code-creation,Builtin,3,5830,0x2d2952b1ec80,40,LoadIC_Slow
