v8-version,6,8,275,24,-node.14,0
code-creation,Builtin,3,4702,0x3915ad992ce0,36,AllocateInOldSpace
code-creation,Builtin,3,4715,0x3915ad992d60,835,CopyFastSmiOrObjectElements
code-creation,Builtin,3,4728,0x3915ad993100,544,GrowFastDoubleElements
code-creation,Builtin,3,4741,0x3915ad993360,500,GrowFastSmiOrObjectElements
code-creation,Builtin,3,4755,0x3915ad9935a0,359,NewArgumentsElements
code-creation,Builtin,3,4768,0x3915ad993760,464,DebugBreakTrampoline
code-creation,Builtin,3,4780,0x3915ad993980,130,FrameDropperTrampoline
code-creation,Builtin,3,4793,0x3915ad993a60,63,HandleDebuggerStatement
code-creation,Builtin,3,4806,0x3915ad993ae0,402,ToObject
code-creation,Builtin,3,4818,0x3915ad993cc0,151,ToBoolean
code-creation,Builtin,3,4831,0x3915ad993da0,283,OrdinaryToPrimitive_Number
code-creation,Builtin,3,4844,0x3915ad993f00,283,OrdinaryToPrimitive_String
code-creation,Builtin,3,4857,0x3915ad994060,229,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,4871,0x3915ad9941a0,229,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,4884,0x3915ad9942e0,229,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,4897,0x3915ad994420,95,StringToNumber
code-creation,Builtin,3,4909,0x3915ad9944c0,103,ToName
code-creation,Builtin,3,4922,0x3915ad994580,317,NonNumberToNumber
code-creation,Builtin,3,4934,0x3915ad994700,333,NonNumberToNumeric
code-creation,Builtin,3,4947,0x3915ad9948a0,269,ToNumber
code-creation,Builtin,3,4959,0x3915ad994a00,361,ToNumeric
code-creation,Builtin,3,4971,0x3915ad994bc0,219,NumberToString
code-creation,Builtin,3,4984,0x3915ad994ce0,303,ToString
code-creation,Builtin,3,4996,0x3915ad994e60,482,ToInteger
code-creation,Builtin,3,5008,0x3915ad9950a0,498,ToInteger_TruncateMinusZero
code-creation,Builtin,3,5021,0x3915ad9952e0,538,ToLength
code-creation,Builtin,3,5033,0x3915ad995540,156,Typeof
code-creation,Builtin,3,5045,0x3915ad995620,75,GetSuperConstructor
code-creation,Builtin,3,5058,0x3915ad9956c0,163,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,5078,0x3915ad9957c0,10084,KeyedLoadIC_Megamorphic
code-creation,Builtin,3,5093,0x3915ad997f80,2555,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,5107,0x3915ad9989c0,40,KeyedLoadIC_Slow
code-creation,Builtin,3,5135,0x3915ad998a40,15804,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,5149,0x3915ad99c840,44,KeyedStoreIC_Slow
code-creation,Builtin,3,5161,0x3915ad99c8c0,40,LoadGlobalIC_Slow
code-creation,Builtin,3,5174,0x3915ad99c940,92,LoadIC_FunctionPrototype
code-creation,Builtin,3,5187,0x3915ad99c9e0,40,LoadIC_Slow
code-creation,Builtin,3,5199,0x3915ad99ca60,16,LoadIC_StringLength
code-creation,Builtin,3,5212,0x3915ad99cac0,20,LoadIC_StringWrapperLength
code-creation,Builtin,3,5240,0x3915ad99cb20,3036,LoadIC_Uninitialized
code-creation,Builtin,3,5254,0x3915ad99d740,44,StoreGlobalIC_Slow
code-creation,Builtin,3,5271,0x3915ad99d7c0,6684,StoreIC_Uninitialized
code-creation,Builtin,3,5285,0x3915ad99f220,40,StoreInArrayLiteralIC_Slow
code-creation,Builtin,3,5299,0x3915ad99f2a0,1072,EnqueueMicrotask
code-creation,Builtin,3,5312,0x3915ad99f720,1432,RunMicrotasks
code-creation,Builtin,3,5325,0x3915ad99fd00,2452,HasProperty
code-creation,Builtin,3,5337,0x3915ad9a06e0,1036,DeleteProperty
code-creation,Builtin,3,5350,0x3915ad9a0b40,25,Abort
code-creation,Builtin,3,5362,0x3915ad9a0ba0,40,AbortJS
code-creation,Builtin,3,5374,0x3915ad9a0c20,15,EmptyFunction
code-creation,Builtin,3,5386,0x3915ad9a0c80,15,Illegal
code-creation,Builtin,3,5398,0x3915ad9a0ce0,15,StrictPoisonPillThrower
code-creation,Builtin,3,5411,0x3915ad9a0d40,15,UnsupportedThrower
code-creation,Builtin,3,5424,0x3915ad9a0da0,21,ArrayConstructor
code-creation,Builtin,3,5436,0x3915ad9a0e00,9,InternalArrayConstructor
code-creation,Builtin,3,5449,0x3915ad9a0e60,15,ArrayConcat
code-creation,Builtin,3,5462,0x3915ad9a0ec0,948,ArrayIncludesSmiOrObject
code-creation,Builtin,3,5475,0x3915ad9a12c0,120,ArrayIncludesPackedDoubles
code-creation,Builtin,3,5488,0x3915ad9a1380,180,ArrayIncludesHoleyDoubles
