v8-version,6,8,275,24,-node.14,0
code-creation,Builtin,3,4555,0x1b919f112ce0,36,AllocateInOldSpace
code-creation,Builtin,3,4568,0x1b919f112d60,835,CopyFastSmiOrObjectElements
code-creation,Builtin,3,4582,0x1b919f113100,544,GrowFastDoubleElements
code-creation,Builtin,3,4594,0x1b919f113360,500,GrowFastSmiOrObjectElements
code-creation,Builtin,3,4608,0x1b919f1135a0,359,NewArgumentsElements
code-creation,Builtin,3,4621,0x1b919f113760,464,DebugBreakTrampoline
code-creation,Builtin,3,4633,0x1b919f113980,130,FrameDropperTrampoline
code-creation,Builtin,3,4655,0x1b919f113a60,63,HandleDebuggerStatement
code-creation,Builtin,3,4667,0x1b919f113ae0,402,ToObject
code-creation,Builtin,3,4678,0x1b919f113cc0,151,ToBoolean
code-creation,Builtin,3,4690,0x1b919f113da0,283,OrdinaryToPrimitive_Number
code-creation,Builtin,3,4702,0x1b919f113f00,283,OrdinaryToPrimitive_String
code-creation,Builtin,3,4715,0x1b919f114060,229,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,4727,0x1b919f1141a0,229,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,4740,0x1b919f1142e0,229,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,4752,0x1b919f114420,95,StringToNumber
code-creation,Builtin,3,4764,0x1b919f1144c0,103,ToName
code-creation,Builtin,3,4775,0x1b919f114580,317,NonNumberToNumber
code-creation,Builtin,3,4787,0x1b919f114700,333,NonNumberToNumeric
code-creation,Builtin,3,4799,0x1b919f1148a0,269,ToNumber
code-creation,Builtin,3,4810,0x1b919f114a00,361,ToNumeric
code-creation,Builtin,3,4822,0x1b919f114bc0,219,NumberToString
code-creation,Builtin,3,4833,0x1b919f114ce0,303,ToString
code-creation,Builtin,3,4845,0x1b919f114e60,482,ToInteger
code-creation,Builtin,3,4856,0x1b919f1150a0,498,ToInteger_TruncateMinusZero
code-creation,Builtin,3,4869,0x1b919f1152e0,538,ToLength
code-creation,Builtin,3,4880,0x1b919f115540,156,Typeof
code-creation,Builtin,3,4891,0x1b919f115620,75,GetSuperConstructor
code-creation,Builtin,3,4903,0x1b919f1156c0,163,ToBooleanLazyDeoptContinuation
code-creation,Builtin,3,4923,0x1b919f1157c0,10084,KeyedLoadIC_Megamorphic
code-creation,Builtin,3,4937,0x1b919f117f80,2555,KeyedLoadIC_PolymorphicName
code-creation,Builtin,3,4949,0x1b919f1189c0,40,KeyedLoadIC_Slow
code-creation,Builtin,3,4976,0x1b919f118a40,15804,KeyedStoreIC_Megamorphic
code-creation,Builtin,3,4989,0x1b919f11c840,44,KeyedStoreIC_Slow
code-creation,Builtin,3,5001,0x1b919f11c8c0,40,LoadGlobalIC_Slow
code-creation,Builtin,3,5013,0x1b919f11c940,92,LoadIC_FunctionPrototype
code-creation,Builtin,3,5026,0x1b919f11c9e0,40,LoadIC_Slow
code-creation,Builtin,3,5037,0x1b919f11ca60,16,LoadIC_StringLength
